Problema,BHCVRP_Java_anterior,BHCVRP_Java_actual,BHCVRP_Python_actual
Random_CVRP,6.875,6.75,6.375
NN_CVRP,5,5.375,5.25
Sweep_CVRP,2.625,2.5,2.875
SaveSeq_CVRP,1,1.375,1.875
SaveParall_CVRP,2.625,2.5,2.375
MJ_CVRP,4.125,3.625,2.875
CMT_CVRP,5.75,5.875,6.375
Random_HFVRP,6.875,6.875,6.75
NN_HFVRP,5.375,5.3125,5.0625
Sweep_HFVRP,1.5,1.75,2.5
SaveSeq_HFVRP,2.375,2.375,2.625
SaveParall_HFVRP,2.125,2,2.25
MJ_HFVRP,4,3.875,2.625
CMT_HFVRP,5.75,5.8125,6.1875
Random_MDVRP,7,6.875,5.75
NN_MDVRP,5,5.25,5.875
Sweep_MDVRP,3,3.25,4.625
SaveSeq_MDVRP,1.375,1.75,2.625
SaveParall_MDVRP,1.625,1.375,1
MJ_MDVRP,4,3.75,2.375
CMT_MDVRP,6,5.75,5.75
Random_TTRP,6.875,6.625,6
NN_TTRP,4.75,4.75,5
Sweep_TTRP,1,1.25,2.5
SaveSeq_TTRP,3.5,3.5,1.125
SaveParall_TTRP,2.25,2.125,2.375
MJ_TTRP,3.5,3.375,4
CMT_TTRP,6.125,6.375,7
