Tipo de distancia,Euclidean
Tipo de heurística,FisherJaikumar
Costo total,45671.81
Tiempo de ejecución,1.204777479171753
Ruta,Clientes
R1,"[145, 267, 78]"
R2,"[278, 89, 320, 195, 139, 134, 111, 392]"
R3,[135]
R4,"[76, 73, 356, 326, 177]"
R5,"[81, 198, 384]"
R6,[201]
R7,"[148, 100, 96, 256, 6, 374]"
R8,"[82, 205, 183, 174, 353, 98]"
R9,"[11, 197]"
R10,"[12, 299]"
R11,"[325, 351, 16, 213]"
R12,"[150, 192, 54, 18, 269]"
R13,"[32, 254]"
R14,"[52, 312, 295]"
R15,"[63, 207, 99]"
R16,"[67, 393]"
R17,[77]
R18,[85]
R19,"[379, 94, 84, 72, 176, 29, 327, 264]"
R20,"[297, 301, 352, 24, 86, 95, 200, 69]"
R21,"[344, 97, 233]"
R22,"[144, 317, 105]"
R23,"[347, 383, 113, 43]"
R24,"[36, 114, 400, 19, 125]"
R25,"[127, 191]"
R26,"[175, 262, 128, 280]"
R27,"[212, 260, 130]"
R28,"[152, 146, 88, 165]"
R29,"[2, 149, 365]"
R30,"[319, 288, 282, 226, 103, 354, 39, 161, 157, 116, 246, 167]"
R31,"[172, 160, 232]"
R32,"[185, 153, 380]"
R33,[189]
R34,"[186, 272, 118, 199, 364, 202]"
R35,"[255, 323, 204]"
R36,"[340, 284, 194, 206, 17, 357, 215, 237, 333]"
R37,"[335, 208, 9, 87, 151, 216, 184, 285]"
R38,"[106, 79, 57, 355, 283, 220, 314, 350]"
R39,[222]
R40,"[235, 289, 181, 60]"
R41,"[56, 243, 47]"
R42,"[259, 318]"
R43,"[339, 363, 266]"
R44,"[270, 249]"
R45,"[230, 277, 386]"
R46,"[26, 286]"
R47,"[101, 287, 252, 13, 303, 58, 210, 70, 112, 68, 221, 158]"
R48,"[25, 291, 171, 108, 74, 225, 281, 349, 227, 182, 122]"
R49,"[304, 359, 298]"
R50,"[376, 346, 123, 1, 305, 271, 394, 375]"
R51,"[307, 164, 265]"
R52,[313]
R53,"[124, 322, 224, 187]"
R54,"[328, 296]"
R55,"[91, 40, 309, 223, 331]"
R56,[334]
R57,"[209, 155, 337, 132, 381]"
R58,"[268, 162, 342]"
R59,"[90, 129, 343]"
R60,"[341, 117, 20, 345, 308]"
R61,"[348, 190, 371]"
R62,"[154, 360, 104]"
R63,"[238, 107, 242, 170, 247, 361]"
R64,"[366, 372, 163, 166, 377, 390, 147]"
R65,"[315, 141, 275, 250, 37, 370]"
R66,"[373, 395, 332, 362, 193, 263, 110, 306]"
R67,"[311, 83, 385, 378, 178, 80, 196, 245]"
R68,"[136, 387, 234]"
R69,"[173, 188, 389]"
R70,"[300, 279, 391, 138]"
R71,"[274, 3, 55, 137, 251, 140, 239, 369, 273, 169]"
R72,"[4, 159, 329, 257, 142, 336]"
R73,[5]
R74,"[399, 338, 7, 261]"
R75,[8]
R76,"[10, 217]"
R77,"[14, 240, 75, 310]"
R78,"[21, 131, 398, 316]"
R79,"[22, 133, 321]"
R80,"[92, 102, 23, 302, 121, 143, 294, 219, 228, 203]"
R81,"[248, 236, 27, 156, 211, 168]"
R82,[28]
R83,[30]
R84,"[34, 109, 368]"
R85,[35]
R86,"[31, 38]"
R87,"[231, 71, 396, 41]"
R88,"[42, 33, 229]"
R89,[44]
R90,"[214, 45]"
R91,"[46, 218]"
R92,"[48, 50]"
R93,"[120, 49, 382]"
R94,"[290, 51, 15]"
R95,"[53, 179, 93]"
R96,"[59, 358, 253, 292]"
R97,[61]
R98,"[119, 62, 293]"
R99,"[367, 276, 65, 330, 324, 397]"
R100,"[126, 115, 66, 64, 180, 388, 241, 258, 244]"
