Tipo de distancia,Euclidean
Tipo de heurística,FisherJaikumar
Costo total,83488.54
Tiempo de ejecución,4.29431939125061
Ruta,Clientes
R1,"[13, 26, 557, 552, 525, 543, 450, 534, 297, 569]"
R2,"[453, 45, 520, 425, 83, 84, 128, 340, 394, 438, 218]"
R3,"[17, 58, 600, 220]"
R4,[64]
R5,"[136, 176, 16, 583]"
R6,"[152, 573]"
R7,"[550, 498, 205, 266, 285, 321, 354, 105, 547]"
R8,"[574, 238, 207, 417]"
R9,"[23, 381, 121, 254, 560, 541, 595, 539, 544]"
R10,"[492, 407, 562, 362]"
R11,"[408, 445, 68, 406, 373, 7, 127, 530, 532, 358]"
R12,"[414, 527, 427, 411, 488]"
R13,"[433, 469, 195, 512, 267, 256, 395, 513, 294]"
R14,"[476, 156, 584, 326, 437, 482, 455, 305, 461, 426, 402]"
R15,"[566, 439, 269, 447, 412, 38, 52, 4, 586, 529]"
R16,"[158, 457, 47, 484, 502, 458, 378, 134, 200, 538, 206, 470, 322]"
R17,"[519, 496, 274, 248, 209, 104, 239, 487, 138, 81, 493]"
R18,"[19, 10, 471]"
R19,[14]
R20,"[571, 18]"
R21,[20]
R22,"[350, 287, 34, 224, 31, 286, 92, 116, 48, 135, 219, 164, 168, 268, 25]"
R23,"[565, 559, 55, 315, 32, 561, 528]"
R24,"[582, 518, 56, 111, 351, 314, 204, 355, 41]"
R25,"[33, 37, 575, 76, 54, 60, 467, 110, 70, 130, 237, 347, 255]"
R26,"[473, 74, 35, 357, 145, 474, 49, 157, 153, 162, 187]"
R27,"[489, 85, 29, 222, 312, 330, 331, 418, 505, 592, 67]"
R28,"[99, 501, 185, 91, 213, 593, 290, 388]"
R29,"[42, 101, 422, 79]"
R30,"[173, 203, 102, 139, 132, 24, 122, 77, 40, 28, 2, 163, 199, 124]"
R31,"[61, 293, 332, 390, 112, 596]"
R32,"[523, 118, 506, 472, 346, 191, 521, 404, 430, 479, 434]"
R33,"[393, 429, 428, 421, 363, 503, 275, 244, 194, 125, 142, 300, 558]"
R34,"[82, 306, 131]"
R35,"[133, 114, 50, 352, 15, 442, 149, 198, 170, 273, 325, 143]"
R36,"[140, 150, 265, 123, 554]"
R37,"[141, 588, 1, 343, 456, 580, 576, 568, 225, 577, 564]"
R38,"[384, 144, 400, 277, 160, 21, 368, 5, 6, 94, 93, 181, 385, 107]"
R39,"[72, 477, 146]"
R40,"[282, 202, 308, 301, 272, 210, 208, 155, 106, 88, 53, 182, 323, 147]"
R41,"[587, 39, 44, 462, 341, 579, 589, 154, 524, 526]"
R42,"[316, 8, 30, 62, 109, 148, 264, 382, 536, 159]"
R43,"[165, 9]"
R44,"[73, 169]"
R45,"[234, 172, 510]"
R46,"[548, 517, 240, 235, 97, 103, 444, 226, 483, 585, 184, 590]"
R47,"[229, 236, 186, 298, 335, 508, 387, 405, 446]"
R48,"[424, 188, 201]"
R49,"[551, 43, 189, 11, 129, 289, 478, 279, 276, 175, 212, 261]"
R50,"[192, 591, 259]"
R51,"[486, 211]"
R52,"[475, 515, 416, 221, 59, 120, 46, 178, 228, 193, 246, 329, 174]"
R53,"[499, 420, 227, 375, 232, 415]"
R54,"[243, 339, 196, 250, 344, 463, 119, 581]"
R55,"[251, 572, 98, 249, 288, 599, 570, 366, 522, 578, 319]"
R56,"[549, 376, 542, 537, 511, 171, 252, 270, 151, 161, 115, 374]"
R57,"[260, 233, 379, 190, 545]"
R58,"[262, 553, 598, 540, 342, 197, 431, 51, 80, 464, 356, 324]"
R59,"[71, 465, 271, 480]"
R60,"[281, 126, 597]"
R61,"[12, 283]"
R62,"[309, 303, 215, 280, 263, 69, 167, 113, 230, 295, 291, 231, 245]"
R63,"[365, 443, 183, 304, 432, 242, 334, 360, 338, 313, 253, 401, 370]"
R64,"[75, 337, 180, 307, 392]"
R65,"[423, 318]"
R66,"[594, 320, 563, 507, 217, 311, 349, 546, 380, 108, 531, 391, 555]"
R67,"[436, 504, 296, 310, 78, 258, 96, 327, 90, 377, 247, 216, 278, 100]"
R68,"[328, 89, 516, 491, 451, 22, 117, 567, 389, 353, 383, 177, 359]"
R69,"[223, 302, 398, 333]"
R70,"[36, 336, 509, 166, 241, 257, 397, 361, 317, 556, 95]"
R71,"[399, 284, 435, 345, 63, 372, 57, 292, 214, 65, 87, 299]"
R72,"[348, 485, 494, 533, 440, 409, 386, 396, 460, 364, 449, 466]"
R73,"[500, 367, 3, 27, 441, 179, 495, 419, 481, 454, 137, 403]"
R74,"[86, 369, 413]"
R75,"[490, 468, 66, 497, 371, 410, 448, 452, 514, 459, 535]"
