Tipo de distancia,Euclidean
Tipo de heurística,FisherJaikumar
Costo total,2902.9
Tiempo de ejecución,0.14960002899169922
Ruta,Clientes
R1,"[13, 60, 43, 15, 85, 16, 90, 37]"
R2,"[27, 69, 76, 68, 29, 26, 75, 77]"
R3,"[83, 59, 44, 17, 4, 82]"
R4,"[95, 99, 94, 12, 58, 97, 96, 93, 92, 91, 84, 36, 98]"
R5,"[5, 88, 100]"
R6,"[6, 7, 46, 45, 81, 47]"
R7,"[87, 62, 10, 31, 30, 9, 89, 51, 61]"
R8,"[40, 74, 73, 55, 72, 3, 71, 20, 21, 54, 22, 38, 66, 24]"
R9,"[48, 63, 35, 18]"
R10,"[1, 42, 14, 41, 86, 56]"
R11,"[57, 39, 79, 25, 52, 53]"
R12,"[50, 78, 70, 49, 64, 32, 65, 34, 2, 8, 11, 80, 33, 19, 23, 28, 67]"
