Tipo de distancia,Euclidean
Tipo de heurística,CMT
Costo total,8482.62
Tiempo de ejecución,41.62340974807739
Ruta,Clientes
R1,"[88, 98, 157]"
R2,"[118, 83, 188, 108]"
R3,"[117, 49]"
R4,"[131, 44, 102, 76, 149]"
R5,"[193, 46, 125, 4, 72, 95, 158]"
R6,"[41, 77, 110, 162, 109]"
R7,"[94, 51, 174]"
R8,"[58, 37, 183]"
R9,"[66, 147, 91, 70, 139]"
R10,"[186, 127, 7, 181]"
R11,"[23, 92]"
R12,[189]
R13,"[197, 124, 141, 69, 200, 136]"
R14,"[163, 194, 52]"
R15,"[150, 140, 187, 142, 111, 63, 56]"
R16,"[50, 156, 112, 168, 79, 29, 42, 123]"
R17,"[153, 145, 195, 87, 198]"
R18,"[2, 16, 89, 105, 15, 59, 107]"
R19,"[167, 34]"
R20,[75]
R21,"[114, 159, 38, 22, 151, 138, 137]"
R22,"[164, 47, 122]"
R23,"[132, 81]"
R24,"[65, 115]"
R25,"[134, 182, 169, 96, 130]"
R26,"[165, 99, 53]"
R27,"[173, 154, 64, 179, 74]"
R28,"[84, 191, 128, 106, 121, 67, 17, 39]"
R29,"[54, 31, 25, 172, 100, 28]"
R30,[1]
R31,"[177, 3, 8, 185, 199]"
R32,"[192, 146, 68, 14]"
R33,"[176, 33, 9]"
R34,"[170, 40, 97]"
R35,"[116, 12, 160, 86, 6, 61, 90]"
R36,"[180, 152, 196, 184, 24, 71]"
R37,[171]
R38,"[18, 35, 126]"
R39,"[120, 19, 175, 13, 43]"
R40,"[60, 82, 143, 36]"
R41,"[148, 104, 135, 166, 11]"
R42,"[5, 10, 129]"
R43,"[21, 26, 80]"
R44,"[144, 103, 85]"
R45,"[93, 161, 55, 119]"
R46,"[20, 32, 78]"
R47,"[178, 27]"
R48,"[190, 48]"
R49,[155]
R50,[73]
R51,[30]
R52,"[113, 57]"
R53,[45]
R54,[62]
R55,[101]
R56,[133]
