Tipo de distancia,Euclidean
Tipo de heurística,MatchingBasedSavingAlgorithm
Costo total,5470.18
Tiempo de ejecución,79.56847023963928
Ruta,Clientes
R1,"[34, 4, 60, 72, 190, 190, 95, 69, 91, 158, 193]"
R2,"[134, 92, 171, 123, 124, 65, 115, 168, 145, 170, 23]"
R3,"[195, 87, 52, 87, 87, 29, 79, 42, 50, 32, 197]"
R4,"[31, 14, 40, 169, 153, 21, 89, 59, 51, 94, 80, 85]"
R5,"[48, 103, 75, 112, 156, 194, 194, 182, 182, 163, 133]"
R6,"[96, 25, 77, 41, 77, 47, 147, 160, 66, 164]"
R7,"[70, 26, 152, 105, 15, 105, 198, 130, 97, 196]"
R8,"[12, 110, 116, 116, 11, 162, 74, 28, 20, 122]"
R9,"[6, 73, 173, 192, 19, 120, 149, 100, 64, 24, 154, 64, 61]"
R10,"[45, 27, 167, 128, 106, 179, 5, 10, 10, 10, 191, 125, 84]"
R11,"[180, 36, 33, 121, 33, 109, 108, 188, 165]"
R12,"[113, 2, 43, 76, 30, 146, 102, 68, 146, 146, 146, 143]"
R13,"[44, 131, 62, 78, 39, 17, 39, 78, 155, 67, 118]"
R14,"[63, 83, 107, 150, 38, 159, 150, 22, 140, 151, 142, 187, 111]"
R15,"[16, 138, 199, 138, 137, 199, 81, 81, 144, 99, 166, 71, 126, 53, 35]"
R16,"[98, 157, 177, 7, 8, 3, 56, 183, 9, 1, 9]"
R17,"[132, 88, 185, 49, 117, 181, 37, 55, 37]"
R18,"[18, 54, 127, 186, 104, 161, 58, 200]"
