Tipo de distancia,Euclidean
Tipo de heurística,FisherJaikumar
Costo total,9844.91
Tiempo de ejecución,1.0762667655944824
Ruta,Clientes
R1,"[100, 52]"
R2,[55]
R3,"[72, 72]"
R4,[160]
R5,"[179, 179, 59]"
R6,"[20, 20]"
R7,"[23, 60, 23]"
R8,"[27, 27, 129, 119, 191, 96, 29, 95]"
R9,"[189, 189]"
R10,"[80, 80, 136, 183, 198]"
R11,"[42, 42]"
R12,"[47, 47]"
R13,"[57, 54, 92]"
R14,"[70, 34, 165]"
R15,"[61, 67]"
R16,"[76, 76]"
R17,"[168, 14]"
R18,"[126, 185, 126, 97, 7]"
R19,"[53, 53]"
R20,"[161, 109]"
R21,[110]
R22,"[78, 78, 49, 111]"
R23,[115]
R24,"[131, 131]"
R25,"[132, 132]"
R26,"[152, 152]"
R27,"[194, 74]"
R28,"[164, 32, 120, 187, 117, 107, 56]"
R29,"[171, 24]"
R30,"[154, 174]"
R31,"[48, 48, 6]"
R32,"[58, 13, 58, 197]"
R33,"[89, 1, 89]"
R34,"[176, 2, 87]"
R35,"[5, 138]"
R36,"[45, 105, 4]"
R37,"[10, 128, 121]"
R38,"[11, 146, 11, 69, 90]"
R39,"[15, 158]"
R40,"[19, 19]"
R41,"[37, 37, 149]"
R42,"[44, 44, 26, 172, 99, 63]"
R43,"[86, 28]"
R44,"[79, 79]"
R45,"[31, 123]"
R46,"[35, 142]"
R47,"[25, 39]"
R48,"[40, 40]"
R49,"[41, 169, 122]"
R50,"[101, 43, 130]"
