Tipo de distancia,Euclidean
Tipo de heurística,RandomMethod
Costo total,15223.11
Tiempo de ejecución,0.7313311100006104
Ruta,Clientes
R1,"[191, 179, 162, 28, 117, 183, 56, 63, 149]"
R2,"[70, 109, 142, 107]"
R3,"[6, 94, 188, 123, 198]"
R4,"[98, 110, 74, 59, 158]"
R5,"[75, 16, 168, 61, 169, 67, 108, 39, 92, 137, 111]"
R6,"[196, 13, 33, 125, 174, 105, 4, 37, 95, 49, 53, 189, 17, 52]"
R7,"[36, 167, 122, 165, 121, 34, 77, 181, 89, 76, 90, 64]"
R8,"[11, 200, 195, 138, 1, 42, 99, 136, 130, 87, 157, 96]"
R9,"[71, 9, 187, 72, 140, 29, 145, 100, 15]"
R10,"[69, 106, 194, 151, 139, 79, 127, 163, 43, 24, 31, 154, 14, 81]"
R11,"[26, 197, 51]"
R12,"[114, 35, 25, 128, 7, 132, 47, 68, 141, 2, 153, 126, 185]"
R13,"[91, 172]"
R14,"[159, 97, 176, 166, 80, 115, 112, 192, 38, 147, 83, 86]"
R15,"[160, 27, 41, 44, 186, 22, 58, 143, 40, 150]"
R16,"[73, 129, 12, 124, 46, 146, 193, 180, 88, 18, 133]"
R17,"[190, 199]"
R18,"[113, 23, 173, 171, 5, 48, 32, 102, 152, 175, 155, 101]"
R19,"[10, 8, 156, 182, 164, 131, 161, 82, 66]"
R20,"[103, 50, 119, 120, 177, 184, 84]"
R21,"[60, 78, 104, 116, 19, 65, 54]"
R22,"[178, 148, 144, 135, 85, 93, 55, 20, 57, 134]"
R23,"[21, 3, 62, 45, 30, 118]"
R24,[170]
