Tipo de distancia,Euclidean
Tipo de heurística,SaveSequential
Costo total,4559.73
Tiempo de ejecución,79.89688038825989
Ruta,Clientes
R1,"[123, 42, 189, 65, 115, 94, 51, 174, 136, 162]"
R2,"[53, 60, 180, 84, 191, 125, 4, 72, 188, 165, 121, 108]"
R3,"[22, 140, 187, 142, 111, 63, 56]"
R4,"[153, 170, 134, 156, 112, 168, 79, 29, 87, 52, 92, 198]"
R5,"[74, 28, 97, 163, 194, 145, 195, 105, 15, 59, 149]"
R6,"[2, 167, 106, 128, 95, 158]"
R7,"[183, 49, 117, 181, 82, 176, 36, 33, 36, 34]"
R8,"[16, 7, 127, 98, 157, 19, 192, 182, 75, 169, 89, 96, 130]"
R9,"[132, 35, 166, 119, 57, 118, 83, 143, 193, 10, 5]"
R10,"[151, 54, 18, 185, 186, 8, 58, 37, 81, 138, 137]"
R11,"[179, 64, 110, 77, 200, 69, 141, 171, 86, 70, 17]"
R12,"[107, 39, 172, 25, 31, 80, 85, 100, 109]"
R13,"[48, 26, 152, 196, 76, 14, 21, 23, 50, 40]"
R14,"[155, 175, 43, 13, 90, 67, 1, 99]"
R15,"[199, 184, 88, 150, 38, 159, 114, 3, 104, 135, 71]"
R16,"[91, 47, 160, 122, 139, 9]"
R17,"[178, 173, 154, 24, 61]"
R18,"[45, 27, 164, 147, 129, 124, 197, 20, 41, 20]"
R19,"[133, 120, 68, 131, 146, 102, 44, 131]"
R20,"[6, 11]"
R21,"[148, 66, 190, 101, 144, 93, 55, 161, 177, 62, 30]"
R22,"[103, 12, 116, 73, 113, 78]"
