Tipo de distancia,Euclidean
Tipo de heurística,MoleJameson
Costo total,3171.68
Tiempo de ejecución,63.43153190612793
Ruta,Clientes
R1,"[189, 136, 174, 51, 86, 115, 94, 65, 94, 162]"
R2,"[121, 36, 33, 165, 188, 108, 95, 106, 128, 167, 34, 158]"
R3,"[139, 122, 11, 6, 11, 91, 47, 160, 70]"
R4,"[184, 58, 104, 185, 54, 18, 161, 135, 37, 81, 199, 138, 137]"
R5,"[148, 197, 124, 103, 147, 66, 164, 12, 116, 73]"
R6,"[155, 78, 39, 107, 179, 61, 24, 154, 173, 100, 64, 109]"
R7,"[77, 172, 149, 74, 130, 123, 87, 29, 42, 198, 59, 96, 28]"
R8,"[46, 125, 191, 84, 180, 82, 4, 72, 60, 83, 126, 71]"
R9,"[117, 132, 127, 186, 8, 88, 3, 98, 177, 157]"
R10,"[183, 63, 49, 9, 1, 53, 99, 17, 67, 90, 2, 175]"
R11,"[26, 40, 152, 105, 15, 89, 169, 153, 14, 97, 196]"
R12,"[13, 43, 32, 171, 141, 69, 200, 25, 31, 80, 85, 41]"
R13,"[156, 112, 168, 79, 195, 145, 194, 163, 75, 92, 52]"
R14,"[35, 166, 119, 176, 143, 10, 5, 10, 193, 176, 118]"
R15,"[68, 30, 146, 102, 44, 76, 178, 27, 20, 45]"
R16,"[120, 19, 192, 22, 21, 23, 182, 170, 134, 50, 133, 48]"
R17,"[56, 111, 142, 151, 16, 140, 187, 55, 93, 144, 101]"
R18,"[7, 181, 114, 159, 150, 38]"
R19,"[62, 131, 113]"
