Tipo de distancia,Euclidean
Tipo de heurística,NearestNeighborWithRLC
Costo total,14458.1
Tiempo de ejecución,2.998979330062866
Ruta,Clientes
R1,"[200, 199, 109, 179, 162, 149, 39, 198, 183, 138]"
R2,"[178, 197, 196, 175, 173, 154, 195, 188, 110, 139, 107, 158]"
R3,"[155, 194, 67, 187, 1, 181, 17, 99, 137, 74, 53, 59, 15, 130]"
R4,"[113, 193, 192, 184, 2, 4, 122, 6, 146, 191, 102, 144, 45]"
R5,"[190, 176, 100, 172, 169, 126, 90, 168, 189, 142, 42, 64]"
R6,"[167, 165, 9, 96, 123, 28, 111, 108, 95, 140, 121, 106]"
R7,"[170, 5, 166, 164, 185, 160, 159, 182, 180]"
R8,"[3, 177, 153, 163, 156, 152, 147, 7, 77, 76, 97]"
R9,"[143, 135, 131, 120, 161, 133, 101, 78, 73, 157, 81, 71, 151]"
R10,"[129, 119, 150, 68, 13, 145, 61, 43, 80, 148, 141, 35, 128]"
R11,"[136, 29, 105, 89, 70, 24, 31, 11, 91, 25, 14, 37, 34, 92]"
R12,"[118, 85, 134, 132, 47, 112, 16, 36, 40]"
R13,"[116, 93, 62, 125, 22, 33, 117, 56, 63, 49, 52]"
R14,"[124, 27, 48, 44, 83, 66, 57, 114, 55, 104, 30]"
R15,"[41, 26, 103, 20, 98, 174, 79, 127, 69, 51]"
R16,"[19, 87, 72, 94, 115, 84, 10, 82, 75]"
R17,"[60, 50, 58, 12, 38, 46, 54, 8, 88, 18]"
R18,"[21, 23, 32, 171, 65, 186, 86]"
