Tipo de distancia,Euclidean
Tipo de heurística,KilbyAlgorithm
Costo total,18245.27
Tiempo de ejecución,357.72283959388733
Ruta,Clientes
R1,"[78, 230, 400, 387, 224, 262, 260, 332, 278, 319, 323]"
R2,"[18, 297, 329, 343, 163, 269, 106, 238]"
R3,"[65, 264, 184, 307, 366, 206, 150, 396]"
R4,"[11, 252, 398, 331, 370, 277, 218]"
R5,"[31, 249, 360, 198, 157, 255, 219, 237, 212, 169]"
R6,"[50, 213, 344, 261, 383, 121, 131, 120]"
R7,"[46, 152, 384, 137, 176, 215, 263, 153]"
R8,"[19, 193, 356, 322, 284, 270]"
R9,"[40, 282, 172, 381, 226, 292, 350, 352]"
R10,"[32, 142, 276, 374, 111, 316]"
R11,"[52, 257, 291, 321, 279]"
R12,"[61, 141, 274, 290, 182, 236]"
R13,"[1, 116, 354, 259, 242]"
R14,"[21, 346, 342, 118]"
R15,"[84, 266, 165, 308]"
R16,"[23, 134, 107]"
R17,"[55, 351, 315, 151, 221, 294]"
R18,"[57, 271, 189, 174]"
R19,"[89, 143, 337, 160, 330]"
R20,"[24, 217, 144, 303, 335]"
R21,"[53, 313, 301]"
R22,"[71, 304, 211, 102, 159]"
R23,"[72, 208, 100, 145, 318]"
R24,"[98, 368, 325, 234, 250]"
R25,"[12, 305]"
R26,"[26, 109, 202]"
R27,"[33, 375, 149]"
R28,"[35, 138, 170, 275]"
R29,"[44, 185, 114]"
R30,"[60, 280, 349, 191]"
R31,"[67, 251, 363, 194]"
R32,"[68, 113, 288]"
R33,"[69, 164, 378]"
R34,"[81, 310, 197, 339]"
R35,"[87, 201]"
R36,"[90, 196, 101, 393]"
R37,"[91, 130, 372]"
R38,"[93, 209, 220]"
R39,"[4, 240, 115]"
R40,"[10, 286]"
R41,"[16, 132]"
R42,"[17, 154, 186]"
R43,"[22, 399, 300]"
R44,"[36, 392, 139]"
R45,"[48, 244, 390]"
R46,"[77, 357]"
R47,"[82, 199, 296]"
R48,"[96, 353]"
R49,"[2, 376, 347]"
R50,"[7, 241, 311]"
R51,"[38, 175]"
R52,"[54, 146]"
R53,"[59, 253]"
R54,"[62, 371, 333]"
R55,"[74, 327, 178]"
R56,"[75, 309, 228]"
R57,"[85, 265]"
R58,"[94, 268]"
R59,"[30, 302]"
R60,"[47, 299]"
R61,[63]
R62,"[66, 126]"
R63,[95]
R64,[97]
R65,[3]
R66,[5]
R67,[8]
R68,[14]
R69,[27]
R70,[28]
R71,[34]
R72,[41]
R73,[42]
R74,[45]
R75,[49]
R76,[51]
R77,[73]
R78,[76]
R79,[79]
R80,[80]
R81,[83]
R82,[92]
R83,[99]
R84,[6]
R85,[9]
R86,[13]
R87,[15]
R88,[20]
R89,[25]
R90,[29]
R91,[37]
R92,[39]
R93,[43]
R94,[56]
R95,[58]
R96,[64]
R97,[70]
R98,[86]
R99,[88]
R100,[336]
