Tipo de distancia,Euclidean
Tipo de heurística,SaveParallel
Costo total,9990.51
Tiempo de ejecución,453.62329149246216
Ruta,Clientes
R1,"[5, 160, 143, 215, 153, 330, 337]"
R2,"[1, 389, 181, 51, 127, 245, 242, 259]"
R3,"[189, 174, 390, 271, 244, 57, 48, 345, 98, 250, 234]"
R4,"[292, 226, 117, 40, 183, 123, 75, 228]"
R5,"[324, 156, 133, 210, 382, 338, 256, 205]"
R6,"[394, 68, 14, 288, 6]"
R7,"[265, 380, 328, 177, 95, 30]"
R8,"[303, 144, 24, 93, 229, 204, 295, 103, 220, 122]"
R9,"[357, 77, 74, 178, 327]"
R10,"[63, 213, 121, 233, 173, 161, 50, 383, 261, 131]"
R11,"[287, 31, 362, 108, 248, 171, 243, 239, 192, 128, 27]"
R12,"[199, 385, 335, 82, 359, 254, 293, 60, 53, 313]"
R13,"[298, 87, 70, 201, 25]"
R14,"[102, 113]"
R15,"[322, 151, 270, 193, 19, 55, 120, 294]"
R16,"[69, 222, 159, 304, 71, 211, 59, 253]"
R17,"[377, 124, 2, 347, 306, 272, 361, 395, 155, 105, 376]"
R18,"[56, 252, 370, 274, 138, 170, 4, 190]"
R19,"[49, 116, 96, 353]"
R20,"[23, 371, 38, 333, 111, 194, 363, 251, 316, 276, 142]"
R21,"[94, 54, 180, 179, 386, 379, 312, 246, 81, 197, 84]"
R22,"[355, 214, 326, 154, 247, 320, 168, 283, 289, 158, 104, 227]"
R23,"[381, 109, 172, 282, 350, 26, 350]"
R24,"[186, 17, 162, 21, 346]"
R25,"[80, 315, 221, 296, 86]"
R26,"[202, 342, 309, 118, 45]"
R27,"[284, 58, 356, 134, 107]"
R28,"[231, 125, 225, 323, 78, 278, 387, 43]"
R29,"[266, 165, 308, 146, 268, 79]"
R30,"[332, 188, 319, 260]"
R31,"[92, 310, 339, 262, 400, 8, 34, 230, 224, 41]"
R32,"[267, 364, 340, 373, 167, 148, 378, 164, 367, 391]"
R33,"[9, 12, 198, 360, 47, 299, 305, 249]"
R34,"[393, 112, 135, 140, 279, 90, 196, 219, 28]"
R35,"[301, 139, 280, 392, 36, 191, 344, 91, 130, 372]"
R36,"[29, 255, 33, 157, 212, 169, 237]"
R37,"[334, 216, 358, 195, 285, 18, 238, 297, 329]"
R38,"[208, 100, 145, 318, 106]"
R39,"[73, 85, 302, 184, 175]"
R40,"[269, 64, 203, 187, 200, 119, 232, 42]"
R41,"[375, 149, 16, 314, 22, 399, 132]"
R42,"[101, 7, 257, 15]"
R43,"[343, 397, 72, 365, 273, 341, 207, 163]"
R44,"[351, 349, 3]"
R45,"[366, 374, 32, 62, 39, 67, 65, 396, 307, 264]"
R46,"[150, 83, 354, 206, 99, 300, 13]"
R47,"[115, 141, 236, 61, 369, 110, 35, 223, 240]"
R48,"[331, 398, 66, 277, 325, 368, 37, 20]"
R49,"[97, 291, 52, 136, 317, 321, 76, 311, 241]"
R50,"[126, 290, 182, 218, 11, 275]"
R51,"[217, 348, 235, 281, 129, 46, 147, 89, 166, 258]"
R52,"[286, 114, 44, 388, 263, 176, 137, 384]"
R53,"[185, 209, 88, 10, 152, 336]"
